Comment,Replies,Likes
For the first time i couldn't click the skip button. This is a beautiful representation. It makes me feel so alive and joyful. Keep making this type of advertisement. This is really called an advertisement.,No Replies,461
when an ad has a better story than most movies nowdays,No Replies,675
"Came here for the AD 
amazing story
beautiful acting
and a very creative idea.",No Replies,297
took about 20 mins to search up this ad after i accidentally skipped after watching half the ad,No Replies,436
Gosh Gaurav looks like such a sweet guy istg feels like lob at first sight,No Replies,167
i was so invested no way they made an ad this good,No Replies,109
I can't be the only one who thinks that Gaurav is Handsom,No Replies,148
"When an ad becomes a masterpiece in storytelling. :)

I can bet that 10-15 years later we'd skip ads to replay and watch this ad -- it's such a classic one!",No Replies,36
Searched and come here ..great ad,No Replies,102
i dont know Gaurav but now im gonna miss him too,No Replies,33
"instead of skip, I searched for this ad.",No Replies,63
this add has expressed way better story in 4 min then any movie presently,No Replies,46
"Just saw the ad, couldn't bring myself to skip it, and came straight here to comment! To everyone who made this ad possible...THIS WAS PHENOMENAL!! I LOVED IT it made me emotional and now Canva is beloved in my heart.",No Replies,34
"the story, the acting, everything about this ad is just so perfect. for the first time, i actually couldnt skip an ad.",No Replies,21
This ad made me feel more in 3 min than i feel in a 2 hr movie. Hats off to the person who envisioned it as well as the actors for their great acting.,No Replies,8
"this would be the first ad I did not skip and also, search for it to watch it again. LOL!",No Replies,22
"i guess  everyone here searched for this ad, after it just popped up on the screennn and we accidentally skipped it... wt a masterpiece.. ad directors should be making a movie",No Replies,8
"The best ad I've seen in a long time! Reminds me of good old, wholesome ads from 2011-2016 era.",No Replies,4
This is probably one of the best ads ever seen. Not just the wholesomeness. But it showcases the product really well too. Simply wonderful.,No Replies,5
I usually skip ads. But this one,No Replies,26
"the best and beautiful AD ever!!!!!!!!. i literally had to watch it all and on repeat. Gaurav is cute, Gaurav is me!",No Replies,10
"Man!!! I must have skipped a thousand ads on Youtube and then this ad shows up, just mind blown! 
Being from the marketing & sales domain, I must admit this has to be one of the most powerful ad campaigns, successfully stopping someone from skipping the ad without going ""hey don't skip the ad etc etc"" 
A classic case study for marketers. Loved it! Kudos to the Canva team!",No Replies,2
I came across this ad by accident. To be honest this will be the best ad I've seen in a while. I literally had happy tears and smile on my face. Loved it!!!!,No Replies,4
"Finallyy,, an ad worthy to not skip T_T",No Replies,4
"Dil se....dil tak, dil jeetliya canva! Its the first ad I did not skip and ....ngl brought a little tear in my eyes.",No Replies,2
bruh  this ad made me forget what i was watching in first place . stood there and watched full ad,No Replies,4
kudos to the team one of best ads I've ever watched. Loved the story and the presentation,No Replies,2
What an Ad !! I was on the urge of crying .,No Replies,5
"this is how an ad should be, wow, brilliant, the script, direction, story, editing and colour grading , simply wow stuff",No Replies,2
this ads are good. when i see this first time i can't able to skip this because  ads is more attractive after i   watch ṭhis i find this youtube. really awesome,No Replies,2
"I never press the Skip Button for the first time, What an Beautiful Ad , Love it",No Replies,4
"Most of the time ads are boring and I skip it but this one was really good, I watched it whole",No Replies,6
"One of the rarest times when I couldn't click the ""Skip"" button. Came to see 1 thing, ended up watching 1 masterpiece",No Replies,1
"The first ad i searched  on yt and never skipped has a better story than most movies nowadays , i love this",No Replies,2
"I was completely absorbed in a video when an ad suddenly interrupted, but this time I was powerless to skip it. The words, the images, everything about it captivated me, and I found myself helplessly watching it again and again. The name of the ad still echoes in my mind, having touched a deep chord within me, leaving an indelible mark on my heart.",No Replies,0
A wonderful ad that made me come here. Hats off to the way the idea is presented. Kudos Canva team,No Replies,1
"First time I watched full ad without skipping it. It was really nice short story, I just loved it",No Replies,2
What an advertisement!,No Replies,16
This is such Incredible video  I had a manager just like him and I know how it feels when such a supportive person leaves the team. Loved it Canva,No Replies,4
Best ad I've gotten in a while. Great work team Canva,No Replies,1
"I am skiping two ads for watch another ad 
They made a masterpiece frrrr....",No Replies,1
Watching this ad as if it's a beautiful SONG.....!! Chai Chai loved it,No Replies,1
Best ad till date !!  Appreciated,No Replies,2
The ONLY Ad NOBODY would have SKIPPED ... it's just wonderful,No Replies,2
"damn  never watched an ad and searched for it , this hits really hardhard HARD.... JUST Wonderful",No Replies,2
"Canva marketing team stonks after this add : 

P.S. Such a good add, after watching it fully without skipping, I also searched it, and saved to playlist to watch later too",No Replies,2
"First time, I felt happy that, I didnt buy Youtube premium. Would have missed this ad otherwise. What an emotionally connecting story telling?",No Replies,0
"Its the longest add i ever seen in youtube and ironically its the only add i didn't want to skip. What a great add. Beautiful storytelling.

So i searched up for the add. Love this add .",No Replies,0
"i love this ad.....i just watched it.......gaurav in london be like :- 
thank you for the best farewelll...",No Replies,1
This advertisement moved me to tears.,No Replies,2
came back to search it up here after literally crying over it a few mins ago. Such a beautiful one!,No Replies,0
What an Ad!... my first Youtube ad that i didn't skip and came here to comment.,No Replies,0
"i have never commented an add like this, this is the best add that i have seen.",No Replies,1
You know every once in a few years you get ads that you just wish it went on. You don't feel like skipping it but on the contrary you search for it. That is very very very rare for us consumers who are forced to watch ads on every god damn video. These are the kind of ads which feel like a story and not like advertisements. Hats off!!,No Replies,0
Can't believe i cried watching an ad,No Replies,1
"The only you tube ad I didn't skipped
People here not for canva but for the ad 
Good work by the team",No Replies,0
"The ad deserves all the praise it gets. 
I specifically searched to view it again, because I couldn't hit like button when it came as an ad...",No Replies,0
Randomly came against this ad while watching yt. Watched the whole vid. Saved it too. Gonna watch it again once im done wiping the tears.,No Replies,0
"That's such a beautiful advertisement, I loved it. So gooood!",No Replies,1
"Finally an ad after decades  with such a beautiful message  Here for watching this ad again , thankfully , I did not skipped it this time.",No Replies,0
I usually hit the skip whenever it appears but I couldn’t take my eyes off till the end. Such a feel good ad,No Replies,0
"Usually I skip every ad on YouTube, but your this ad is the first one which attracted me and I watched the whole and got emotional. Really I appreciate the idea of such advertisement. The concept is really very amazing. 
I never search the ad again on YouTube to watch it but Idk why i searched this and watched it again and now commenting.
Keep up the good work.",No Replies,0
"literally cried seeing this, and I'm usually a pretty stoic person when it comes to emotional movies or dramas... I was bawling by the end, and I did not even reach for the skip button *once*.. truly a masterpiece!",No Replies,0
"canva made one of the most genius and a wholesome ad , you literally cant skipp",No Replies,1
"This ad man how could you make such a nice advertisement !! I couldn't click the skip button, watched the whole ad, and then came here searching for it to give it a like and comment on how amazing the representation and message is .... loved it man",No Replies,0
heart touching ad ever!,No Replies,2
"First time, I don't want to skip... instead, not able to rewind the Ad!!!... eventually searched & landed here to appreciate the team",No Replies,0
If ads are like this. we don't need a skip button. great ad. kudos to the team!!,No Replies,0
"Such a beautiful piece. Great work Canva team. I have never ever skipped this ad.  
For those wondering who these amazing actors are, they are
Tenzin Dalha
Ritvik Sahore &
Naina Sareen",No Replies,0
"Awesome advertisement, I didnt skipped this ad, for the first time, in my yt life, and i mean it, Please make this kinda of adv canva team, this will be good example for other companies, seriously one of the best ad I ever seen in my life, Thankyou Canva Team, for making this Period",No Replies,0
"Just watched this on my tv fully, forgot the video i clicked on first",No Replies,1
"About to skip the add, but it already played for a few seconds, then I couldn't skip the add. Then searched it and saw it again and again and forwarded it too. Lovely add! Gaurav aced the role!...",No Replies,0
"Really like the emotional agnel we created here & specially the Gaurav the way he acted. A long time to see these such ads. Great job agency to curated this, the creative team & the production team.",No Replies,0
"For the first time i couldn't click the skip button and I am writing a comment for it..WTF! its so amazing better story, direction & performance. This is how you carry the emotion. WOW..kudos guys!",No Replies,0
"I am literally crying here, watching an Ad. I had to come and say this here. Great work guys!",No Replies,0
Came here to give a like for this ad. Man it's good quality.,No Replies,1
"What a wonderful add man... just came across it (as a YT add), and then ... it is just amazing,. wo ever is behind this add filled up with emotions is a genius/es .. Hatts off.. you made my day",No Replies,1
This was the first time that I didn't skip a YouTube ad and it was one of the best decisions I've made. The story of this ad is much better than modern movies and the ad is able to connect the audiences so well. Amazing take Canva! Keep up the great work :),No Replies,0
This is why I love Marketing ! It preserves the integrity and humanity if done the right way ! <3,No Replies,0
I was just watching a youtube video and this ad came up and i'm only here to appreciate it amazing work,No Replies,1
I love the storytelling and how they have taken a risk by not mentioning the sponsor in under 5 seconds and the story really pulled me off. Nice work,No Replies,0
"We need a part 2, how is Gaurav in London? For the first time I actually searched out the video of the ad so that I can give a like. Big cheers to the creators and canva for hosting this.",No Replies,0
"Whoever made this ad, hats off to you. Such a beautiful way to tell a story",No Replies,0
The fact that this video got 31M views....Whoever worked on this.. You should be proud man...such a heartwarming ad man,No Replies,0
